x,y,psi,v,cte,epsi,delta,a
6.65308,0.174295,0.0607416,33.3759,0.441978,0.0439176,0.0196487,0.648814
6.65381,0.174321,0.0573013,33.3794,0.481325,0.0475266,0.0168876,0.647454
6.65414,0.182461,0.0536685,33.3821,0.498777,0.0516049,0.0126208,0.646472
6.65466,0.182481,0.049626,33.3846,0.488887,0.0534507,0.0093792,0.645517
6.65665,0.136408,0.0403086,33.388,0.450127,0.0494884,0.00958805,0.644153
6.65803,0.10139,0.0336309,33.3911,0.404652,0.0453056,0.0100683,0.642896
6.65861,0.103661,0.0335397,33.3941,0.267927,0.032756,0.00961771,0.641786
6.65893,0.108862,0.0323564,33.396,0.265056,0.0340668,0.00780464,0.641046
6.65944,0.104,0.0300297,33.398,0.249034,0.0337176,0.00675056,0.640267
6.66009,0.0844017,0.0236926,33.3995,0.220911,0.039379,0.0049358,0.639615
6.66055,0.073008,0.0220754,33.401,0.154515,0.0342031,0.00553623,0.639042
6.66112,0.0533857,0.0205354,33.4026,0.0920312,0.0274089,0.00756693,0.638358
6.66129,0.0598828,0.0223836,33.4037,0.0585197,0.0243357,0.00796643,0.637913
6.66119,0.0818494,0.0264844,33.4045,0.0394164,0.0227653,0.00759708,0.637628
6.66124,0.0861723,0.0285517,33.405,0.0379296,0.0206661,0.00853366,0.637417
6.66143,0.0821796,0.028825,33.4056,0.237476,0.0316388,0.00941663,0.637175
6.66135,0.0923114,0.0310543,33.406,0.209355,0.0289818,0.00951684,0.637049
6.66125,0.101863,0.0333081,33.4063,0.195947,0.0266547,0.00973312,0.636958
6.66126,0.102948,0.0342415,33.4064,0.197815,0.0248582,0.0103002,0.636901
6.66126,0.105288,0.0351194,33.4066,0.211868,0.0236851,0.010614,0.636853
6.66116,0.111422,0.0358974,33.4067,0.230314,0.0237903,0.0102168,0.636835
6.66111,0.114816,0.0359245,33.4068,0.250982,0.0241256,0.00967401,0.636833
