x,y,psi,v,cte,epsi,delta,a
6.66199,0.0572422,0.0192902,33.4069,0.00096255,-0.00472654,0.00592853,0.636842
6.66225,0.0156018,0.0173598,33.4069,0.0760984,-0.00348838,0.0113068,0.636817
6.66192,0.0641349,0.0253459,33.4069,0.15587,0.00736133,0.00963153,0.636778
6.66094,0.122309,0.0333108,33.4067,0.208724,0.0179547,0.00633487,0.636841
6.66181,0.0685296,0.0389165,33.4066,0.373557,-0.0150957,0.0197676,0.637238
6.66182,0.0685298,0.0382702,33.4067,0.570393,0.0042483,0.01925,0.63711
6.6581,0.213787,0.0511688,33.4058,0.713704,0.0386844,0.00541596,0.637264
6.65817,0.208187,0.0473285,33.4051,0.742559,0.0512317,0.00327219,0.637438
6.6619,0.0353972,0.0265391,33.4056,0.691238,0.0441496,0.015366,0.636938
6.63858,0.0352258,0.027066,33.2934,0.629237,0.0489258,0.0158549,0.681545
6.6608,0.16624,0.0413684,33.4112,0.531113,0.0668737,0.00548221,0.634473
6.66383,0.171641,0.0431288,33.4286,0.417977,0.0689075,0.00600253,0.627305
6.66237,0.0649417,0.0408499,33.4086,0.409725,0.0143519,0.0219117,0.635053
6.66386,0.0649617,0.0444759,33.4156,0.538633,0.0399813,0.0248082,0.631387
6.65887,0.237045,0.0693046,33.4135,0.58365,0.0793291,0.0160724,0.631668
6.65621,0.268285,0.0800945,33.407,0.543427,0.0943541,0.0195093,0.633223
6.65908,0.173825,0.0836,33.4033,0.665047,-0.0304556,0.0380369,0.632988
6.65714,0.210949,0.0983934,33.3993,1.27882,0.0942742,0.0437077,0.627593
6.64486,0.410872,0.135655,33.3914,1.38197,0.177369,0.0402382,0.626239
6.63748,0.471721,0.168239,33.3775,1.20006,0.220618,0.0561794,0.626706
6.63824,0.43416,0.191428,33.3667,0.966812,0.22292,0.0810478,0.628705
6.61872,0.605053,0.242893,33.3461,0.901066,0.20844,0.0937091,0.629092
6.57871,0.869924,0.298822,33.318,1.04994,0.273709,0.0939615,0.64513
6.5482,1.00261,0.337552,33.276,1.17484,0.256398,0.102511,0.659074
6.54219,1.0041,0.35822,33.2502,1.30737,0.284372,0.118855,0.676871
6.51892,1.09275,0.385395,33.2187,1.29737,0.259441,0.125543,0.696213
6.45873,1.33142,0.412842,33.1785,1.52266,0.252574,0.106421,0.713389
6.4529,1.32974,0.40784,33.1495,1.7488,0.249334,0.102597,0.728664
6.49484,1.12995,0.375738,33.1427,1.83812,0.204839,0.111256,0.73613
6.50217,1.08978,0.353633,33.141,2.07551,0.200388,0.100328,0.738652
